About,Über,
All,Alle,
Allow Bulk Edit,Massenbearbeitung zulassen,
Allow in Quick Entry,In Schnelleingabe zulassen,
Allow on Submit,Änderungen nach dem Buchen zulassen,
Amended From,Abgeändert von,
Apps,Apps,
Attach,Anhängen,
Attach Image,Bild anhängen,
Autocomplete,Autovervollständigung,
Barcode,Barcode,
Bold,Fett gedruckt,
Button,Schaltfläche,
Check,Prüfen,
City,Ort,
Code,Code,
Collapsible,Faltbar,
Collapsible Depends On (JS),"""Faltbar"" hängt ab von (JS)",
Color,Farbe,
Column Break,Spaltenumbruch,
Columns,Spalten,
Constraints,Einschränkungen,
Contact Details,Kontakt-Details,
Content,Inhalt,
Country,Land,
Currency,Währung,
Data,Daten,
Date,Datum,
Datetime,Datum und Uhrzeit,
Default,Standard,
Defaults,Standardeinstellungen,
Description,Beschreibung,
Display,anzeigen,
Display Depends On (JS),Anzeige ist abhängig von (JS),
Documentation URL,Dokumentations-URL,
"Don't encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field","HTML-Tags wie &lt;script&gt; oder Zeichen wie &lt; oder &gt; nicht kodieren, da diese absichtlich in diesem Feld verwendet werden könnten",
Draft,Entwurf,
Duration,Dauer,
Dynamic Link,Dynamische Verknüpfung,
Email,E-Mail,
Fetch From,Abholen von,
Fetch on Save if Empty,"Beim Speichern abrufen, falls leer",
Fields,Felder,
Float,Gleitkommazahl,
Fold,Falz,
"For Links, enter the DocType as range.
For Select, enter list of Options, each on a new line.","Für Links geben Sie den DocType als Bereich ein.
Für Auswahl geben Sie eine Liste von Optionen ein, jede in einer neuen Zeile.",
Frappe Support,Frappe Support,
Geolocation,Geolokalisierung,
HTML,HTML,
HTML Editor,HTML-Editor,
Heading,Überschrift,
Hidden,Versteckt,
Hide Border,Rand ausblenden,
Hide Days,Tage verstecken,
Hide Seconds,Sekunden ausblenden,
Icon,Symbol,
"If unchecked, the value will always be re-fetched on save.","Wenn diese Option deaktiviert ist, wird der Wert beim Speichern immer erneut abgerufen.",
Ignore User Permissions,Ignorieren von Benutzerberechtigungen,
Ignore XSS Filter,XSS-Filter ignorieren,
Image,Bild,
In Filter,Im Filter,
In Global Search,In globaler Suche,
In List Filter,In Listenfilter,
In List View,In der Listenansicht,
In Preview,In der Vorschau,
Index,Pos,
Int,Ganzzahl,
Is Active,Ist aktiv(iert),
JSON,JSON,
Keyboard Shortcuts,Tastaturkürzel,
Label,Bezeichnung,
Language,Sprache,
Length,Länge,
Link,Verknüpfung,
Link Filters,Link-Filter,
List / Search Settings,Listen-/Sucheinstellungen,
Log out,Abmelden,
Long Text,Langer Text,
Mandatory,Zwingend notwendig,
Mandatory Depends On (JS),Bedingung für Pflichtfeld (JS),
Markdown Editor,Markdown-Editor,
Max Height,Max. Höhe,
My Profile,Mein Profil,
My Settings,Meine Einstellungen,
Name,Name,
Naming Series,Nummernkreis,
No,Nein,
No Copy,Keine Kopie,
Non Negative,Nicht negativ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Anzahl der Spalten für ein Feld in einer Listenansicht oder einem Gitter (Total Spalten sollte weniger als 11),
Options,Optionen,
Other,Andere,
Password,Passwort,
Pending Verification,Ausstehende Bestätigung,
Percent,Prozent,
Perm Level,Berechtigungsebene,
Permissions,Berechtigungen,
Phone,Telefon,
Placeholder,Platzhalter,
Precision,Genauigkeit,
Print Hide,Beim Drucken verbergen,
Print Hide If No Value,Druck verbergen wenn ohne Wert,
Print Width,Druckbreite,
Rating,Bewertung,
Read Only,Schreibgeschützt,
Read Only Depends On (JS),Bedingungen für Schreibschutz (JS),
Rejected,Abgelehnt,
Reload,Neu laden,
Remember Last Selected Value,Zuletzt gewählten Wert merken,
Report Hide,Bericht ausblenden,
Section Break,Abschnittswechsel,
Select,Auswählen,
Session Defaults,Sitzungsstandards,
Set non-standard precision for a Float or Currency field,Keine Standard-Genauigkeit für ein Float- oder Währungsfeld einstellen,
Set only once,Nur einmal festlegen,
Show Dashboard,Dashboard anzeigen,
Show on Timeline,Auf Zeitachse anzeigen,
Signature,Signatur,
Small Text,Kleiner Text,
Sort Options,Optionen sortieren,
Source,Quelle,
Source Name,Quellenname,
Status,Status,
System Manager,System-Manager,
Tab Break,Tab-Umbruch,
Table,Tabelle,
Table MultiSelect,Tabelle MultiSelect,
Template,Vorlage,
Text,Text,
Text Editor,Text Bearbeiter,
Time,Zeit,
Title,Bezeichnung,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
Translatable,Übersetzbar,
Type,Typ,
Unique,Einzigartig,
View Website,Webseite anzeigen,
Virtual,Virtuell,
Visibility,Sichtbarkeit,
Width,Breite,
Yes,Ja,
