All,Alle,
Allow Bulk Edit,Tillat Bulk Edit,
Allow in Quick Entry,Tillat i hurtigoppføring,
Allow on Submit,Tillat på Send,
Amended From,Endret Fra,
Attach,Fest,
Attach Image,Fest bilde,
Barcode,Barcode,
Bold,Modig,
Button,Knapp,
Check,Kryss av,
City,By,
Code,Kode,
Collapsible,Sammenleggbar,
Color,Farge,
Column Break,Kolonne Break,
Columns,kolonner,
Contact Details,Kontaktinformasjon,
Content,Innhold,
Country,Land,
Currency,Valuta,
Data,Data,
Date,Dato,
Datetime,Datetime,
Default,Standard,
Defaults,Mislighold,
Description,Beskrivelse,
Display,Utstilling,
Documentation URL,Dokumentasjons-URL,
Draft,utkast,
Duration,Varighet,
Dynamic Link,Dynamic Link,
Email,e-post,
Fetch From,Hent fra,
Fields,Felt,
Float,Float,
Fold,Brett,
Geolocation,geolocation,
HTML,HTML,
HTML Editor,HTML Editor,
Heading,Overskrift,
Hidden,skjult,
Hide Border,Skjul grensen,
Hide Days,Skjul dager,
Hide Seconds,Skjul sekunder,
Icon,Ikon,
Ignore User Permissions,Ignorer brukertillatelser,
Ignore XSS Filter,Ignorer XSS-filter,
Image,Bilde,
In Filter,I Filter,
In Global Search,I Global Søk,
In List View,I listevisning,
In Preview,I forhåndsvisning,
Index,Hovedsiden,
Int,Int,
Is Active,Er Aktiv,
JSON,JSON,
Keyboard Shortcuts,Tastatursnarveier,
Label,Etiketten,
Language,Språk,
Length,Lengde,
Link,link,
Long Text,Lang tekst,
Mandatory,Obligatorisk,
Markdown Editor,Markdown Editor,
Name,Navn,
Naming Series,Navngi Series,
No,Nei,
No Copy,Ingen Copy,
Non Negative,Ikke negativ,
Number of columns for a field in a List View or a Grid (Total Columns should be less than 11),Antall kolonner for et felt i en listevisning eller et rutenett (Totalt kolonner skal være mindre enn 11),
Options,Alternativer,
Other,Andre,
Password,Passord,
Pending Verification,Venter på verifisering,
Percent,Prosent,
Perm Level,Perm nivå,
Permissions,Tillatelser,
Phone,Telefon,
Precision,Precision,
Print Hide,Print Skjul,
Print Hide If No Value,Skriv ut Hide Hvis ingen verdi,
Print Width,Print Bredde,
Rating,Vurdering,
Read Only,Read Only,
Rejected,Avvist,
Reload,Last,
Remember Last Selected Value,Husk sist valgte Verdi,
Report Hide,Rapporter Skjul,
Section Break,Section Break,
Select,Velg,
Session Defaults,Økt mislighold,
Set non-standard precision for a Float or Currency field,Satt ikke-standard presisjon for en Float eller feltet Valuta,
Show Dashboard,Vis instrumentpanel,
Signature,Signatur,
Small Text,Liten tekst,
Source,Source,
Source Name,Source Name,
Status,Status,
System Manager,System Manager,
Table,Bord,
Table MultiSelect,Tabell MultiSelect,
Template,Mal,
Text,Tekst,
Text Editor,Text Editor,
Time,Tid,
Title,Tittel,
Translatable,oversett,
Type,Type,
Unique,Unique,
View Website,Vis nettstedet,
Width,Bredde,
Yes,Ja,
